source,receiver,start,end,year,method,id
MTFO,KAIP,1,32,2022,cohe,536
MTFO,KAIP,32,60,2022,cohe,537
MTFO,KAIP,60,91,2022,cohe,538
MTFO,KAIP,91,121,2022,cohe,539
MTFO,KAIP,121,152,2022,cohe,540
MTFO,KAIP,152,182,2022,cohe,541
MTFO,KAIP,182,213,2022,cohe,542
MTFO,KAIP,213,244,2022,cohe,543
MTFO,KAIP,244,274,2022,cohe,544
MTFO,KAIP,274,305,2022,cohe,545
MTFO,KAIP,305,335,2022,cohe,546
MTFO,KAIP,335,365,2022,cohe,547
MTFO,DOUG,1,32,2022,cohe,548
MTFO,DOUG,32,60,2022,cohe,549
MTFO,DOUG,60,91,2022,cohe,550
MTFO,DOUG,91,121,2022,cohe,551
MTFO,DOUG,121,152,2022,cohe,552
MTFO,DOUG,152,182,2022,cohe,553
MTFO,DOUG,182,213,2022,cohe,554
MTFO,DOUG,213,244,2022,cohe,555
MTFO,DOUG,244,274,2022,cohe,556
MTFO,DOUG,274,305,2022,cohe,557
MTFO,DOUG,305,335,2022,cohe,558
MTFO,DOUG,335,365,2022,cohe,559
MTFO,BROW,1,32,2022,cohe,560
MTFO,BROW,32,60,2022,cohe,561
MTFO,BROW,60,91,2022,cohe,562
MTFO,BROW,91,121,2022,cohe,563
MTFO,BROW,121,152,2022,cohe,564
MTFO,BROW,152,182,2022,cohe,565
MTFO,BROW,182,213,2022,cohe,566
MTFO,BROW,213,244,2022,cohe,567
MTFO,BROW,244,274,2022,cohe,568
MTFO,BROW,274,305,2022,cohe,569
MTFO,BROW,305,335,2022,cohe,570
MTFO,BROW,335,365,2022,cohe,571
MTFO,PYGO,1,32,2022,cohe,572
MTFO,PYGO,32,60,2022,cohe,573
MTFO,PYGO,60,91,2022,cohe,574
MTFO,PYGO,91,121,2022,cohe,575
MTFO,PYGO,121,152,2022,cohe,576
MTFO,PYGO,152,182,2022,cohe,577
MTFO,PYGO,182,213,2022,cohe,578
MTFO,PYGO,213,244,2022,cohe,579
MTFO,PYGO,244,274,2022,cohe,580
MTFO,PYGO,274,305,2022,cohe,581
MTFO,PYGO,305,335,2022,cohe,582
MTFO,PYGO,335,365,2022,cohe,583
MTFO,ARAH,1,32,2022,cohe,584
MTFO,ARAH,32,60,2022,cohe,585
MTFO,ARAH,60,91,2022,cohe,586
MTFO,ARAH,91,121,2022,cohe,587
MTFO,ARAH,121,152,2022,cohe,588
MTFO,ARAH,152,182,2022,cohe,589
MTFO,ARAH,182,213,2022,cohe,590
MTFO,ARAH,213,244,2022,cohe,591
MTFO,ARAH,244,274,2022,cohe,592
MTFO,ARAH,274,305,2022,cohe,593
MTFO,ARAH,305,335,2022,cohe,594
MTFO,ARAH,335,365,2022,cohe,595
MTFO,DATA,1,32,2022,cohe,596
MTFO,DATA,32,60,2022,cohe,597
MTFO,DATA,60,91,2022,cohe,598
MTFO,DATA,91,121,2022,cohe,599
MTFO,DATA,121,152,2022,cohe,600
MTFO,DATA,152,182,2022,cohe,601
MTFO,DATA,182,213,2022,cohe,602
MTFO,DATA,213,244,2022,cohe,603
MTFO,DATA,244,274,2022,cohe,604
MTFO,DATA,274,305,2022,cohe,605
MTFO,DATA,305,335,2022,cohe,606
MTFO,DATA,335,365,2022,cohe,607
MTFO,DELT,1,32,2022,cohe,608
